function,count,sum_proportion
chemoheterotrophy,254,0.19541833748780738
aerobic_chemoheterotrophy,109,0.0937059716050721
nitrate_reduction,94,0.06838625772190313
hydrocarbon_degradation,36,0.043567790180990586
fermentation,78,0.038772081933456146
aliphatic_non_methane_hydrocarbon_degradation,6,0.034572450417253715
nitrogen_respiration,46,0.031145009212094933
nitrate_respiration,44,0.0309011596401864
plastic_degradation,8,0.023152162132870923
dark_oxidation_of_sulfur_compounds,20,0.02086268559661862
animal_parasites_or_symbionts,58,0.020361439254362197
human_associated,52,0.019873740110545136
dark_thiosulfate_oxidation,18,0.018776417036956757
ureolysis,30,0.01872222824319931
phototrophy,20,0.017177847621111957
methylotrophy,34,0.01698818684296087
nitrite_respiration,25,0.01681207326324916
photoheterotrophy,17,0.016568223691340634
human_pathogens_all,32,0.014129727972255335
methanol_oxidation,12,0.013452368050287199
aerobic_anoxygenic_phototrophy,9,0.013005310501788233
nitrogen_fixation,24,0.011772515443806218
cellulolysis,20,0.011135797117156171
aromatic_compound_degradation,19,0.01097323073588382
xylanolysis,17,0.010797117156172105
plant_pathogen,19,0.00998428524981034
denitrification,16,0.009401755716917742
nitrite_denitrification,15,0.009306925327842202
nitrate_denitrification,15,0.009306925327842202
dark_iron_oxidation,12,0.009252736534084751
respiration_of_sulfur_compounds,17,0.009076622954373037
dark_sulfur_oxidation,8,0.008317979841768724
iron_respiration,14,0.007532242332285682
sulfite_respiration,5,0.007003901593150537
nitrite_ammonification,7,0.006800693616560095
nitrate_ammonification,7,0.006800693616560095
arsenite_oxidation_detoxification,3,0.006150428091470685
dissimilatory_arsenite_oxidation,3,0.006150428091470685
dark_hydrogen_oxidation,18,0.005689823344532351
dark_sulfide_oxidation,2,0.005649181749214263
aromatic_hydrocarbon_degradation,9,0.005635634550774899
human_gut,21,0.005581445757017448
mammal_gut,21,0.005581445757017448
ligninolysis,4,0.004443481088110979
manganese_respiration,6,0.004158989920884361
methanotrophy,22,0.0035358187926736754
reductive_acetogenesis,9,0.0029261948629023516
fumarate_respiration,8,0.0028855532675842637
photoautotrophy,7,0.0028720060691449006
anoxygenic_photoautotrophy,7,0.0028720060691449006
human_pathogens_pneumonia,4,0.002546873306600195
chitinolysis,9,0.002479137314403381
human_pathogens_septicemia,3,0.002411401322206568
anoxygenic_photoautotrophy_H2_oxidizing,3,0.002262382139373577
human_pathogens_nosocomia,3,0.0021404573534193126
anoxygenic_photoautotrophy_S_oxidizing,6,0.0021133629565405873
manganese_oxidation,4,0.0017475885986777933
sulfur_respiration,8,0.001503739026769264
anoxygenic_photoautotrophy_Fe_oxidizing,1,0.0013682670423756367
arsenate_detoxification,4,0.0012734366533000976
dissimilatory_arsenate_reduction,4,0.0012734366533000976
thiosulfate_respiration,5,0.0012327950579820092
sulfate_respiration,7,0.0011379646689064701
knallgas_bacteria,3,0.0010973230735883818
invertebrate_parasites,5,0.0008670207001192153
dark_sulfite_oxidation,1,0.0006909071204074998
oil_bioremediation,2,0.0006096239297713233
human_pathogens_gastroenteritis,1,0.00010837758751490192
human_pathogens_diarrhea,1,0.00010837758751490192
nitrification,1,4.064159531808822e-05
aerobic_nitrite_oxidation,1,4.064159531808822e-05
chlorate_reducers,1,2.709439687872548e-05
