organism,count
"gi|2363086248|ref|NR_181376.1| Alloacidobacterium dinghuense strain 4Y35 16S ribosomal RNA, partial sequence",1022
"gi|1277396276|ref|NR_151987.1| Brevitalea aridisoli strain Ac_11_E3 16S ribosomal RNA, partial sequence",819
"gi|1277396275|ref|NR_151986.1| Arenimicrobium luteum strain Ac_12_G8 16S ribosomal RNA, partial sequence",799
"gi|1277396277|ref|NR_151988.1| Brevitalea deliciosa strain Ac_16_C4 16S ribosomal RNA, partial sequence",798
"gi|2363082871|ref|NR_179684.1| Paracidobacterium acidisoli strain 4G-K13 16S ribosomal RNA, partial sequence",679
"gi|645319683|ref|NR_117052.1| Bryocella elongata strain SN10 16S ribosomal RNA, partial sequence",672
"gi|926663081|ref|NR_132675.1| Gemmatirosa kalamazoonensis strain KBS708 16S ribosomal RNA, partial sequence",660
"gi|1277396194|ref|NR_151905.1| Vicinamibacter silvestris strain Ac_5_C6 16S ribosomal RNA, partial sequence",581
"gi|1397641809|ref|NR_156918.1| Luteitalea pratensis strain HEG_-6_39 16S ribosomal RNA, partial sequence",521
"gi|961555220|ref|NR_134189.1| Peristeroidobacter agariperforans strain KA5-B 16S ribosomal RNA, partial sequence",487
"gi|1270541310|ref|NR_074708.2| Gemmatimonas aurantiaca T-27 16S ribosomal RNA, partial sequence",474
"gi|1679775923|ref|NR_163645.1| Roseisolibacter agri strain AW1220 16S ribosomal RNA, partial sequence",465
"gi|2363080029|ref|NR_178231.1| Steroidobacter agaridevorans strain SA29-B 16S ribosomal RNA, partial sequence",389
"gi|1040567061|ref|NR_137410.1| Terriglobus albidus strain Ac_26_B10 16S ribosomal RNA, partial sequence",387
"gi|2363086580|ref|NR_181547.1| Steroidobacter gossypii strain S1-65 16S ribosomal RNA, partial sequence",340
"gi|636560404|ref|NR_116464.1| Desertibacter roseus strain 2622 16S ribosomal RNA, partial sequence",337
"gi|2363085824|ref|NR_181164.1| Usitatibacter rugosus strain 0125_3 16S ribosomal RNA, partial sequence",311
"gi|2363083536|ref|NR_180016.1| Simulacricoccus ruber strain MCy10636 16S ribosomal RNA, partial sequence",284
"gi|228716127|ref|NR_027547.1| Anaeromyxobacter dehalogenans strain 2CP-1 16S ribosomal RNA, partial sequence",277
"gi|444303924|ref|NR_074347.1| Thermobaculum terrenum strain ATCC BAA-798 16S ribosomal RNA, partial sequence",272
"gi|699005391|ref|NR_126260.1| Acidibacter ferrireducens strain MCF85 16S ribosomal RNA, partial sequence",268
"gi|1227086032|ref|NR_148580.1| Acidicapsa acidisoli strain SK-11 16S ribosomal RNA, partial sequence",263
"gi|1040567021|ref|NR_137370.1| Jatrophihabitans fulvus strain PB158 16S ribosomal RNA, partial sequence",259
"gi|1024974697|ref|NR_136770.1| Gemmatimonas phototrophica strain AP64 16S ribosomal RNA, partial sequence",248
"gi|631251774|ref|NR_112972.1| Aciditerrimonas ferrireducens JCM 15389 strain IC-180 16S ribosomal RNA, partial sequence",239
"gi|265678979|ref|NR_029287.1| Nitrospira moscoviensis strain NSP M-1 16S ribosomal RNA, partial sequence",237
"gi|444304267|ref|NR_074693.1| Methylotenera versatilis strain 301 16S ribosomal RNA, partial sequence",234
"gi|2962412368|ref|NR_199563.1| Pelomonas caseinilytica strain P7 16S ribosomal RNA, partial sequence",224
"gi|1227086018|ref|NR_148573.1| Nitrospira lenta strain BS10 16S ribosomal RNA, partial sequence",224
"gi|343200254|ref|NR_040941.1| Derxia gummosa strain IAM 13946 16S ribosomal RNA, partial sequence",215
"gi|444439612|ref|NR_074927.1| Anaeromyxobacter dehalogenans strain 2CP-1 16S ribosomal RNA, partial sequence",204
"gi|2962412369|ref|NR_199564.1| Pelomonas cellulosilytica strain P8 16S ribosomal RNA, partial sequence",203
"gi|2363085826|ref|NR_181165.1| Usitatibacter palustris strain Swamp67 16S ribosomal RNA, partial sequence",199
"gi|2363080121|ref|NR_178279.1| Melittangium boletus DSM 14713 strain Me b8 16S ribosomal RNA, partial sequence",192
"gi|961555151|ref|NR_134120.1| Paludibaculum fermentans strain P105 16S ribosomal RNA, partial sequence",189
"gi|1270533081|ref|NR_074852.2| Corallococcus coralloides DSM 2259 16S ribosomal RNA, complete sequence",186
"gi|636558576|ref|NR_114633.1| Thermobaculum terrenum ATCC BAA-798 strain YNP1 16S ribosomal RNA, partial sequence",181
"gi|1013172399|ref|NR_135866.1| Jatrophihabitans soli strain KIS75-12 16S ribosomal RNA, partial sequence",176
"gi|645320382|ref|NR_117600.1| Archangium disciforme strain DSM 52716 16S ribosomal RNA, partial sequence",175
"gi|2363085615|ref|NR_181060.1| Undibacterium crateris strain B2R-29 16S ribosomal RNA, partial sequence",174
"gi|1033657146|ref|NR_137236.1| Paraburkholderia solisilvae strain Y-47 16S ribosomal RNA, partial sequence",169
"gi|2136551676|ref|NR_173681.1| Rhabdothermincola sediminis strain SYSU G02662 16S ribosomal RNA, partial sequence",165
"gi|1171002983|ref|NR_146368.1| Terracidiphilus gabretensis strain S55 16S ribosomal RNA, partial sequence",164
"gi|228715357|ref|NR_027529.1| Gemmatimonas aurantiaca T-27 16S ribosomal RNA, partial sequence",163
"gi|631253198|ref|NR_114396.1| Nitrospira japonica strain J1 16S ribosomal RNA, partial sequence",161
"gi|961555263|ref|NR_134232.1| Caldimonas caldifontis strain YIM 78140 16S ribosomal RNA, partial sequence",159
"gi|699005303|ref|NR_126172.1| Povalibacter uvarum strain Zumi 37 16S ribosomal RNA, partial sequence",156
"gi|343198427|ref|NR_041798.1| Ferrimicrobium acidiphilum strain T23 16S ribosomal RNA, partial sequence",155
"gi|2962412262|ref|NR_199456.1| Geodermatophilus maliterrae strain WL48A 16S ribosomal RNA, complete sequence",153
"gi|2136551566|ref|NR_173569.1| Methyloradius palustris strain Zm11 16S ribosomal RNA, partial sequence",150
"gi|636558924|ref|NR_114981.1| Bryobacter aggregatus strain MPL3 16S ribosomal RNA, partial sequence",147
"gi|1491516040|ref|NR_159238.1| Rhodoplanes tepidicaeni strain TUT3542 16S ribosomal RNA, partial sequence",143
"gi|636559168|ref|NR_115225.1| Chthoniobacter flavus Ellin428 16S ribosomal RNA, partial sequence",141
"gi|645320373|ref|NR_117593.1| Caldanaerobacter subterraneus strain DSM 13054 16S ribosomal RNA, partial sequence",141
"gi|1270533028|ref|NR_126245.2| Lihuaxuella thermophila strain YIM 77831 16S ribosomal RNA, complete sequence",141
"gi|2836274930|ref|NR_197693.1| Roseateles violae strain PFR6 16S ribosomal RNA, partial sequence",140
"gi|444303956|ref|NR_074379.1| Sphaerobacter thermophilus strain DSM 20745 16S ribosomal RNA, partial sequence",139
"gi|566085516|ref|NR_109586.1| Jatrophihabitans endophyticus strain S9-650 16S ribosomal RNA, partial sequence",136
