organism,count
"gi|1953646644|ref|NR_171477.1| Stenotrophobium rhamnosiphilum strain GT1R17 16S ribosomal RNA, partial sequence",1073
"gi|636560211|ref|NR_116271.1| Hydrocarboniphaga daqingensis strain B2-9 16S ribosomal RNA, partial sequence",988
"gi|631251420|ref|NR_112617.1| Panacagrimonas perspica strain Gsoil 142 16S ribosomal RNA, partial sequence",895
"gi|566085528|ref|NR_109599.1| Undibacterium terreum strain C3 16S ribosomal RNA, partial sequence",860
"gi|1384992271|ref|NR_156019.1| Rugosibacter aromaticivorans strain Ca6 16S ribosomal RNA, complete sequence",629
"gi|2221405213|ref|NR_175435.1| Massilia arenae strain GEM5 16S ribosomal RNA, partial sequence",613
"gi|2363086896|ref|NR_181705.1| Undibacterium rivi strain FT147W 16S ribosomal RNA, partial sequence",595
"gi|265678331|ref|NR_028633.1| Brevundimonas nasdae strain W1-2B 16S ribosomal RNA, partial sequence",403
"gi|631250882|ref|NR_112078.1| Brevundimonas vesicularis strain IAM 12105 16S ribosomal RNA, partial sequence",396
"gi|631251949|ref|NR_113147.1| Sulfuritalea hydrogenivorans sk43H 16S ribosomal RNA, partial sequence",379
"gi|219857155|ref|NR_024783.1| Arthrobacter russicus strain A1-3 16S ribosomal RNA, partial sequence",262
"gi|343201086|ref|NR_041773.1| Renibacterium salmoninarum strain ATCC 33209 16S ribosomal RNA, partial sequence >gi|470467876|ref|NR_074198.1| Renibacterium salmoninarum 16S ribosomal RNA, partial sequence",261
"gi|2363085864|ref|NR_181184.1| Brevundimonas huaxiensis strain 090558 16S ribosomal RNA, partial sequence",255
"gi|2363086226|ref|NR_181365.1| Undibacterium flavidum strain LX15W 16S ribosomal RNA, partial sequence",240
"gi|343200153|ref|NR_040840.1| Pelotomaculum thermopropionicum SI 16S ribosomal RNA, partial sequence",231
"gi|444304259|ref|NR_074685.1| Pelotomaculum thermopropionicum SI 16S ribosomal RNA, partial sequence",231
"gi|645322563|ref|NR_119284.1| Clostridium thermosuccinogenes strain DSM 5807 16S ribosomal RNA, partial sequence",198
"gi|566084910|ref|NR_108458.1| Aquipuribacter hungaricus strain IV-75 16S ribosomal RNA, partial sequence",186
"gi|2221405526|ref|NR_175564.1| Rhodoferax aquaticus strain personal::Gr-4 16S ribosomal RNA, partial sequence",183
"gi|1199303398|ref|NR_147749.1| Catenulispora fulva strain SA-246 16S ribosomal RNA, partial sequence",165
"gi|2363086228|ref|NR_181366.1| Undibacterium nitidum strain LX22W 16S ribosomal RNA, partial sequence",163
"gi|1024974706|ref|NR_136773.1| Aquipuribacter nitratireducens strain AMV4 16S ribosomal RNA, partial sequence",160
"gi|602270678|ref|NR_028800.2| Cupriavidus taiwanensis LMG 19424 16S ribosomal RNA, partial sequence",156
"gi|444439445|ref|NR_074760.1| Rhodoferax ferrireducens T118 16S ribosomal RNA, partial sequence",153
"gi|943392621|ref|NR_117900.2| Brevundimonas viscosa strain F3 16S ribosomal RNA, partial sequence",139
"gi|219846595|ref|NR_026187.1| Arthrobacter globiformis strain DSM 20124 16S ribosomal RNA, partial sequence",122
"gi|672239103|ref|NR_125692.1| Solimonas terrae strain KIS83-12 16S ribosomal RNA, partial sequence",121
"gi|343200245|ref|NR_040932.1| Alysiella crassa strain IAM 14969 16S ribosomal RNA, partial sequence",120
"gi|2363082282|ref|NR_179388.1| Faecalibacterium hattorii strain APC922/41-1 16S ribosomal RNA, partial sequence",117
"gi|2363080123|ref|NR_178280.1| Faecalibacterium duncaniae strain A2-165 16S ribosomal RNA, partial sequence",114
"gi|1909404486|ref|NR_170541.1| Janthinobacterium violaceinigrum strain FT13W 16S ribosomal RNA, partial sequence",113
"gi|265678656|ref|NR_028961.1| Faecalibacterium prausnitzii strain ATCC 27768 16S ribosomal RNA, partial sequence",109
"gi|2363086776|ref|NR_181645.1| Comamonas fluminis strain CJ34 16S ribosomal RNA, complete sequence",106
"gi|343198928|ref|NR_044065.1| Solimonas soli DSM 21787 strain DCY12 16S ribosomal RNA, partial sequence",102
"gi|343200859|ref|NR_041546.1| Arthrobacter humicola strain KV-653 16S ribosomal RNA, partial sequence",101
"gi|1909404484|ref|NR_170539.1| Janthinobacterium aquaticum strain FT58W 16S ribosomal RNA, partial sequence",100
"gi|2962412368|ref|NR_199563.1| Pelomonas caseinilytica strain P7 16S ribosomal RNA, partial sequence",97
"gi|2962412369|ref|NR_199564.1| Pelomonas cellulosilytica strain P8 16S ribosomal RNA, partial sequence",96
"gi|219856891|ref|NR_024710.1| Roseateles saccharophilus strain DSM 654 16S ribosomal RNA, partial sequence",93
"gi|2363085615|ref|NR_181060.1| Undibacterium crateris strain B2R-29 16S ribosomal RNA, partial sequence",93
"gi|2363085720|ref|NR_181112.1| Solimonas marina strain C16B3 16S ribosomal RNA, partial sequence",89
"gi|2363084669|ref|NR_180583.1| Rugamonas aquatica strain FT29W 16S ribosomal RNA, partial sequence",86
"gi|343205990|ref|NR_044530.1| Pigmentiphaga litoralis strain JSM 061001 16S ribosomal RNA, partial sequence",86
"gi|2363086774|ref|NR_181644.1| Comamonas fluminis strain CJ34 16S ribosomal RNA, complete sequence",85
"gi|343200254|ref|NR_040941.1| Derxia gummosa strain IAM 13946 16S ribosomal RNA, partial sequence",82
"gi|2363086224|ref|NR_181364.1| Undibacterium griseum strain FT31W 16S ribosomal RNA, partial sequence",81
"gi|2363085193|ref|NR_180845.1| Rugamonas rivuli strain FT103W 16S ribosomal RNA, partial sequence",81
"gi|219878391|ref|NR_025530.1| Comamonas kerstersii strain LMG 3475 16S ribosomal RNA, partial sequence",80
"gi|645320047|ref|NR_117348.1| Undibacterium oligocarboniphilum strain EM 1 16S ribosomal RNA, partial sequence",77
"gi|2363085346|ref|NR_180921.1| Paracoccus binzhouensis strain wg1 16S ribosomal RNA, partial sequence",76
"gi|1137647860|ref|NR_145649.1| Undibacterium aquatile strain THG-DN7.3 16S ribosomal RNA, partial sequence",75
"gi|631251774|ref|NR_112972.1| Aciditerrimonas ferrireducens JCM 15389 strain IC-180 16S ribosomal RNA, partial sequence",75
"gi|1909404485|ref|NR_170540.1| Janthinobacterium rivuli strain FT68W 16S ribosomal RNA, partial sequence",74
"gi|1269785358|ref|NR_121735.2| Snodgrassella alvi wkB2 16S ribosomal RNA, complete sequence >gi|1269785421|ref|NR_118404.2| Snodgrassella alvi wkB2 16S ribosomal RNA, complete sequence",73
"gi|1811131505|ref|NR_165687.1| Zwartia panacis strain DCY105 16S ribosomal RNA, partial sequence",73
"gi|2221405267|ref|NR_175452.1| Paraburkholderia dioscoreae strain LMG 31881 16S ribosomal RNA, partial sequence",70
"gi|1445136084|ref|NR_158124.1| Ramlibacter rhizophilus strain THG-YS3.2.7 16S ribosomal RNA, partial sequence",68
"gi|310975202|ref|NR_037066.1| Thermus thermophilus HB8 16S ribosomal RNA, complete sequence",66
"gi|631253117|ref|NR_114315.1| Blautia luti DSM 14534 = JCM 17040 16S ribosomal RNA, partial sequence",66
"gi|631253128|ref|NR_114326.1| Fusicatenibacter saccharivorans strain HT03-11 16S ribosomal RNA, partial sequence",66
