organism,count
"gi|2363086248|ref|NR_181376.1| Alloacidobacterium dinghuense strain 4Y35 16S ribosomal RNA, partial sequence",613
"gi|645319683|ref|NR_117052.1| Bryocella elongata strain SN10 16S ribosomal RNA, partial sequence",406
"gi|2363082871|ref|NR_179684.1| Paracidobacterium acidisoli strain 4G-K13 16S ribosomal RNA, partial sequence",300
"gi|1040567061|ref|NR_137410.1| Terriglobus albidus strain Ac_26_B10 16S ribosomal RNA, partial sequence",277
"gi|961555220|ref|NR_134189.1| Peristeroidobacter agariperforans strain KA5-B 16S ribosomal RNA, partial sequence",276
"gi|2363080029|ref|NR_178231.1| Steroidobacter agaridevorans strain SA29-B 16S ribosomal RNA, partial sequence",225
"gi|1277396194|ref|NR_151905.1| Vicinamibacter silvestris strain Ac_5_C6 16S ribosomal RNA, partial sequence",218
"gi|961555151|ref|NR_134120.1| Paludibaculum fermentans strain P105 16S ribosomal RNA, partial sequence",196
"gi|2363086580|ref|NR_181547.1| Steroidobacter gossypii strain S1-65 16S ribosomal RNA, partial sequence",180
"gi|1397641809|ref|NR_156918.1| Luteitalea pratensis strain HEG_-6_39 16S ribosomal RNA, partial sequence",170
"gi|636558924|ref|NR_114981.1| Bryobacter aggregatus strain MPL3 16S ribosomal RNA, partial sequence",161
"gi|1033657146|ref|NR_137236.1| Paraburkholderia solisilvae strain Y-47 16S ribosomal RNA, partial sequence",139
"gi|2363085824|ref|NR_181164.1| Usitatibacter rugosus strain 0125_3 16S ribosomal RNA, partial sequence",139
"gi|961555263|ref|NR_134232.1| Caldimonas caldifontis strain YIM 78140 16S ribosomal RNA, partial sequence",135
"gi|2363084485|ref|NR_180490.1| Bradyrhizobium diversitatis strain CNPSo 4019 16S ribosomal RNA, partial sequence",131
"gi|2962412368|ref|NR_199563.1| Pelomonas caseinilytica strain P7 16S ribosomal RNA, partial sequence",129
"gi|2836274944|ref|NR_197707.1| Dongia sedimenti strain R-7 16S ribosomal RNA, partial sequence",125
"gi|699005391|ref|NR_126260.1| Acidibacter ferrireducens strain MCF85 16S ribosomal RNA, partial sequence",123
"gi|1277396275|ref|NR_151986.1| Arenimicrobium luteum strain Ac_12_G8 16S ribosomal RNA, partial sequence",119
"gi|1171002983|ref|NR_146368.1| Terracidiphilus gabretensis strain S55 16S ribosomal RNA, partial sequence",118
"gi|1277396277|ref|NR_151988.1| Brevitalea deliciosa strain Ac_16_C4 16S ribosomal RNA, partial sequence",116
"gi|586661744|ref|NR_044869.2| Bradyrhizobium lupini strain DSM 30140 16S ribosomal RNA, partial sequence",115
"gi|631251811|ref|NR_113009.1| Armatimonas rosea strain YO-36 16S ribosomal RNA, partial sequence",113
"gi|2962412369|ref|NR_199564.1| Pelomonas cellulosilytica strain P8 16S ribosomal RNA, partial sequence",113
"gi|2221405575|ref|NR_175584.1| Paraburkholderia pallida strain 7MH5 16S ribosomal RNA, partial sequence",113
"gi|631251774|ref|NR_112972.1| Aciditerrimonas ferrireducens JCM 15389 strain IC-180 16S ribosomal RNA, partial sequence",107
"gi|636559945|ref|NR_116005.1| Reyranella massiliensis 521 16S ribosomal RNA, partial sequence",106
"gi|1270541310|ref|NR_074708.2| Gemmatimonas aurantiaca T-27 16S ribosomal RNA, partial sequence",105
"gi|1179766740|ref|NR_146690.1| Dongia soli strain D78 16S ribosomal RNA, partial sequence",104
"gi|631251420|ref|NR_112617.1| Panacagrimonas perspica strain Gsoil 142 16S ribosomal RNA, partial sequence",101
"gi|699005311|ref|NR_126180.1| Reyranella graminifolii strain Wo-34 16S ribosomal RNA, partial sequence",99
"gi|2363083536|ref|NR_180016.1| Simulacricoccus ruber strain MCy10636 16S ribosomal RNA, partial sequence",97
"gi|1277396276|ref|NR_151987.1| Brevitalea aridisoli strain Ac_11_E3 16S ribosomal RNA, partial sequence",96
"gi|636560211|ref|NR_116271.1| Hydrocarboniphaga daqingensis strain B2-9 16S ribosomal RNA, partial sequence",93
"gi|1953646644|ref|NR_171477.1| Stenotrophobium rhamnosiphilum strain GT1R17 16S ribosomal RNA, partial sequence",92
"gi|2136551676|ref|NR_173681.1| Rhabdothermincola sediminis strain SYSU G02662 16S ribosomal RNA, partial sequence",91
"gi|2180566390|ref|NR_174253.1| Azohydromonas sediminis strain SYSU G00088 16S ribosomal RNA, partial sequence",91
"gi|566085594|ref|NR_109674.1| Reyranella soli strain KIS14-15 16S ribosomal RNA, partial sequence",91
"gi|1227086032|ref|NR_148580.1| Acidicapsa acidisoli strain SK-11 16S ribosomal RNA, partial sequence",90
"gi|2221405573|ref|NR_175583.1| Paraburkholderia pallida strain 7MH5 16S ribosomal RNA, partial sequence",90
"gi|2363084489|ref|NR_180492.1| Bradyrhizobium agreste strain CNPSo 4010 16S ribosomal RNA, partial sequence",88
"gi|566085516|ref|NR_109586.1| Jatrophihabitans endophyticus strain S9-650 16S ribosomal RNA, partial sequence",87
"gi|2363081977|ref|NR_179235.1| Capsulimonas corticalis strain AX-7 16S ribosomal RNA, partial sequence",85
"gi|2836274930|ref|NR_197693.1| Roseateles violae strain PFR6 16S ribosomal RNA, partial sequence",85
"gi|1024974697|ref|NR_136770.1| Gemmatimonas phototrophica strain AP64 16S ribosomal RNA, partial sequence",84
"gi|2363084487|ref|NR_180491.1| Bradyrhizobium glycinis strain CNPSo 4016 16S ribosomal RNA, partial sequence",83
"gi|310975001|ref|NR_036865.1| Bradyrhizobium japonicum strain 3I1b6 16S ribosomal RNA, partial sequence",82
"gi|636560616|ref|NR_116676.1| Dongia mobilis strain LM22 16S ribosomal RNA, partial sequence",81
"gi|926663081|ref|NR_132675.1| Gemmatirosa kalamazoonensis strain KBS708 16S ribosomal RNA, partial sequence",78
"gi|526641957|ref|NR_103954.1| Chthonomonas calidirosea T49 16S ribosomal RNA, partial sequence",77
"gi|2363082873|ref|NR_179685.1| Edaphobacter bradus strain 4MSH08 16S ribosomal RNA, partial sequence",75
"gi|1779814848|ref|NR_164923.1| Flavitalea flava strain AN120636 16S ribosomal RNA, partial sequence",75
"gi|699005303|ref|NR_126172.1| Povalibacter uvarum strain Zumi 37 16S ribosomal RNA, partial sequence",75
"gi|1040567021|ref|NR_137370.1| Jatrophihabitans fulvus strain PB158 16S ribosomal RNA, partial sequence",74
"gi|343200254|ref|NR_040941.1| Derxia gummosa strain IAM 13946 16S ribosomal RNA, partial sequence",73
"gi|2363085826|ref|NR_181165.1| Usitatibacter palustris strain Swamp67 16S ribosomal RNA, partial sequence",72
"gi|1269801495|ref|NR_102489.2| Bradyrhizobium oligotrophicum S58 16S ribosomal RNA, complete sequence",72
"gi|645320620|ref|NR_117782.1| Ferrovum myxofaciens strain P3G 16S ribosomal RNA, partial sequence",71
"gi|2221405524|ref|NR_175563.1| Caldimonas brevitalea strain DSM 7029 16S ribosomal RNA, partial sequence",71
"gi|672239049|ref|NR_125638.1| Bradyrhizobium valentinum strain LmjM3 16S ribosomal RNA, partial sequence",70
"gi|1199303386|ref|NR_147737.1| Occallatibacter savannae strain A2-1c 16S ribosomal RNA, partial sequence",69
"gi|2363085694|ref|NR_181099.1| Paraflavitalea devenefica strain X16 16S ribosomal RNA, partial sequence",68
"gi|1953646646|ref|NR_171478.1| Flavipsychrobacter stenotrophus strain RB1R16 16S ribosomal RNA, partial sequence",68
"gi|228715357|ref|NR_027529.1| Gemmatimonas aurantiaca T-27 16S ribosomal RNA, partial sequence",65
"gi|1491516040|ref|NR_159238.1| Rhodoplanes tepidicaeni strain TUT3542 16S ribosomal RNA, partial sequence",64
"gi|566084828|ref|NR_108192.1| Solirubrobacter ginsenosidimutans strain BXN5-15 16S ribosomal RNA, partial sequence",64
"gi|219856891|ref|NR_024710.1| Roseateles saccharophilus strain DSM 654 16S ribosomal RNA, partial sequence",63
"gi|645321086|ref|NR_118138.1| Gaiella occulta strain F2-233 16S ribosomal RNA, partial sequence",61
"gi|2180566443|ref|NR_174293.1| Bradyrhizobium niftali strain CNPSo 3448 16S ribosomal RNA, partial sequence",60
"gi|2463901786|ref|NR_184612.1| Capillimicrobium parvum strain 0166_1 16S ribosomal RNA, partial sequence",60
"gi|2180566441|ref|NR_174292.1| Bradyrhizobium frederickii strain CNPSo 3426 16S ribosomal RNA, partial sequence",59
"gi|228716127|ref|NR_027547.1| Anaeromyxobacter dehalogenans strain 2CP-1 16S ribosomal RNA, partial sequence",59
"gi|343202284|ref|NR_042570.1| Aquisalimonas asiatica strain CG12 16S ribosomal RNA, partial sequence",57
"gi|1397641748|ref|NR_156857.1| Brevundimonas canariensis strain GTAE24 16S ribosomal RNA, partial sequence",57
"gi|1491509592|ref|NR_159123.1| Edaphobaculum flavum strain 1-116 16S ribosomal RNA, partial sequence",57
"gi|219857153|ref|NR_024781.1| Haliangium tepidum strain SMP-10 16S ribosomal RNA, partial sequence",56
"gi|343205939|ref|NR_044443.1| Sorangium cellulosum strain DSM 14627 16S ribosomal RNA, partial sequence",54
"gi|1246951799|ref|NR_149803.1| Bradyrhizobium americanum strain CMVU44 16S ribosomal RNA, partial sequence",54
"gi|1909404391|ref|NR_170445.1| Oleiliquidispirillum nitrogeniifigens strain 64-1 16S ribosomal RNA, partial sequence",52
"gi|636559753|ref|NR_115813.1| Edaphobacter modestus strain Jbg-1 16S ribosomal RNA, partial sequence",51
"gi|2363083927|ref|NR_180212.1| Paraflavitalea soli strain 5GH32-13 16S ribosomal RNA, complete sequence",51
"gi|1558439485|ref|NR_160522.1| Polyangium fumosum strain Pl fu5 16S ribosomal RNA, partial sequence",51
"gi|1441204344|ref|NR_157759.1| Natronospira proteinivora strain BSker1 16S ribosomal RNA, partial sequence",49
"gi|343198427|ref|NR_041798.1| Ferrimicrobium acidiphilum strain T23 16S ribosomal RNA, partial sequence",47
"gi|1491521041|ref|NR_159327.1| Nemorincola caseinilytica strain J116-2 16S ribosomal RNA, partial sequence",47
"gi|343200898|ref|NR_041585.1| Rhizobacter dauci strain H6 16S ribosomal RNA, partial sequence",47
"gi|2363080621|ref|NR_178552.1| Thermopetrobacter submarinus strain TC-2 16S ribosomal RNA, partial sequence",45
"gi|566085547|ref|NR_109617.1| Nevskia persephonica strain G6M-30 16S ribosomal RNA, partial sequence",45
"gi|1864207058|ref|NR_169352.1| Variovorax rhizosphaerae strain UCM-G28 16S ribosomal RNA, partial sequence",45
"gi|343199009|ref|NR_044309.1| Steroidobacter denitrificans strain FS 16S ribosomal RNA, partial sequence",45
"gi|2621112331|ref|NR_189234.1| Scleromatobacter humisilvae strain BS-T2-15 16S ribosomal RNA, partial sequence",44
"gi|343206041|ref|NR_044611.1| Methylovirgula ligni strain BW863 16S ribosomal RNA, partial sequence",44
"gi|1033657144|ref|NR_137234.1| Paraburkholderia humisilvae strain Y-12 16S ribosomal RNA, partial sequence",43
"gi|2962412310|ref|NR_199505.1| Terripilifer ovatus strain H3SJ34-1 16S ribosomal RNA, partial sequence",43
"gi|672239116|ref|NR_125705.1| Aggregicoccus edonensis strain MCy1366 16S ribosomal RNA, partial sequence",43
"gi|343200270|ref|NR_040957.1| Heliobacterium mobile strain DSM 6151 16S ribosomal RNA, partial sequence",42
"gi|2363081188|ref|NR_178837.1| Variovorax gossypii strain JM-310 16S ribosomal RNA, partial sequence",42
"gi|444439602|ref|NR_074917.1| Haliangium ochraceum strain DSM 14365 16S ribosomal RNA, partial sequence",42
"gi|2363082875|ref|NR_179686.1| Acidicapsa dinghuensis strain 4GSKX 16S ribosomal RNA, partial sequence",42
"gi|444303872|ref|NR_074294.1| Terriglobus saanensis SP1PR4 16S ribosomal RNA, partial sequence",41
"gi|343199086|ref|NR_044521.1| Ideonella azotifigens strain 1a22 16S ribosomal RNA, partial sequence",40
"gi|1040567069|ref|NR_137418.1| Methylocapsa palsarum strain NE2 16S ribosomal RNA, partial sequence",40
"gi|444303924|ref|NR_074347.1| Thermobaculum terrenum strain ATCC BAA-798 16S ribosomal RNA, partial sequence",40
"gi|636559944|ref|NR_116004.1| Labrys wisconsinensis strain W1215-PCA4 16S ribosomal RNA, partial sequence",39
"gi|507148035|ref|NR_102842.1| Methylotenera mobilis JLW8 16S ribosomal RNA, partial sequence",39
"gi|2180566332|ref|NR_174212.1| Aquirhabdus parva strain HYN0046 16S ribosomal RNA, partial sequence",39
"gi|559795277|ref|NR_104868.1| Agitococcus lubricus strain DSM 5822 16S ribosomal RNA, partial sequence",39
"gi|1491516041|ref|NR_159239.1| Rhodoplanes azumiensis strain TUT3581 16S ribosomal RNA, partial sequence",39
"gi|1779814940|ref|NR_165014.1| Pseudomethylobacillus aquaticus strain H-5 16S ribosomal RNA, partial sequence",38
"gi|219846741|ref|NR_026333.1| Sphaerotilus mobilis strain Feox-1 16S ribosomal RNA, partial sequence",38
"gi|343198441|ref|NR_041827.1| Bradyrhizobium denitrificans strain IFAM 1005 16S ribosomal RNA, partial sequence",37
"gi|1240411950|ref|NR_149296.1| Thalassobaculum fulvum strain HSF7 16S ribosomal RNA, partial sequence",37
"gi|2363081048|ref|NR_178767.1| Sphingomonas parvus strain GP20-2 16S ribosomal RNA, partial sequence",37
"gi|2282568583|ref|NR_176987.1| Gloeobacter morelensis strain MG652769 16S ribosomal RNA, complete sequence",37
"gi|444303956|ref|NR_074379.1| Sphaerobacter thermophilus strain DSM 20745 16S ribosomal RNA, partial sequence",37
"gi|848212582|ref|NR_132289.1| Aquihabitans daechungensis strain CH22-21 16S ribosomal RNA, partial sequence",37
"gi|2363083694|ref|NR_180095.1| Acidisarcina polymorpha strain SBC82 16S ribosomal RNA, partial sequence",37
"gi|343202455|ref|NR_042751.1| Ferrithrix thermotolerans strain Y005 16S ribosomal RNA, partial sequence",37
"gi|1384992338|ref|NR_156087.1| Aliidongia dinghuensis strain 7M-Z19 16S ribosomal RNA, partial sequence",37
"gi|2363080121|ref|NR_178279.1| Melittangium boletus DSM 14713 strain Me b8 16S ribosomal RNA, partial sequence",37
"gi|631252007|ref|NR_113205.1| Desulfomicrobium orale strain JCM 17150 16S ribosomal RNA, partial sequence",37
"gi|631250993|ref|NR_112190.1| Rhodoplanes tepidamans strain DSM 9987 16S ribosomal RNA, partial sequence",36
"gi|343201392|ref|NR_042118.1| Sphaerobacter thermophilus strain DSM 20745 16S ribosomal RNA, partial sequence",36
"gi|444439612|ref|NR_074927.1| Anaeromyxobacter dehalogenans strain 2CP-1 16S ribosomal RNA, partial sequence",36
"gi|1811131546|ref|NR_165728.1| Piscinibacter terrae strain S-16 16S ribosomal RNA, partial sequence",36
"gi|1013172399|ref|NR_135866.1| Jatrophihabitans soli strain KIS75-12 16S ribosomal RNA, partial sequence",36
"gi|444303874|ref|NR_074296.1| Chloracidobacterium thermophilum strain B 16S ribosomal RNA, partial sequence",36
"gi|2363085448|ref|NR_180972.1| Massilia arenosa strain MC02 16S ribosomal RNA, partial sequence",35
"gi|2136551677|ref|NR_173682.1| Ktedonospora formicarum strain SOSP1-1 16S ribosomal RNA, partial sequence",35
