organism,count
"gi|343202726|ref|NR_043152.1| Ralstonia pickettii strain ATCC 27511 16S ribosomal RNA, partial sequence",688
"gi|631252928|ref|NR_114126.1| Ralstonia pickettii strain NBRC 102503 16S ribosomal RNA, partial sequence",683
"gi|631252154|ref|NR_113352.1| Ralstonia pickettii strain JCM 5969 16S ribosomal RNA, partial sequence",675
"gi|343205990|ref|NR_044530.1| Pigmentiphaga litoralis strain JSM 061001 16S ribosomal RNA, partial sequence",375
"gi|343200254|ref|NR_040941.1| Derxia gummosa strain IAM 13946 16S ribosomal RNA, partial sequence",345
"gi|265678331|ref|NR_028633.1| Brevundimonas nasdae strain W1-2B 16S ribosomal RNA, partial sequence",304
"gi|631250882|ref|NR_112078.1| Brevundimonas vesicularis strain IAM 12105 16S ribosomal RNA, partial sequence",299
"gi|1811131505|ref|NR_165687.1| Zwartia panacis strain DCY105 16S ribosomal RNA, partial sequence",288
"gi|2363085718|ref|NR_181111.1| Stenotrophomonas nematodicola strain W5 16S ribosomal RNA, partial sequence",280
"gi|659364814|ref|NR_121739.1| Stenotrophomonas rhizophila strain e-p10 16S ribosomal RNA, partial sequence",269
"gi|1269801279|ref|NR_112116.2| Bacillus subtilis strain IAM 12118 16S ribosomal RNA, complete sequence",232
"gi|444304144|ref|NR_074568.1| Rothia dentocariosa ATCC 17931 16S ribosomal RNA, partial sequence",210
"gi|602269356|ref|NR_044712.2| Rothia dentocariosa ATCC 17931 16S ribosomal RNA, partial sequence",210
"gi|1269801457|ref|NR_102783.2| Bacillus subtilis subsp. subtilis strain 168 16S ribosomal RNA, complete sequence",208
"gi|343206281|ref|NR_044873.1| Rothia mucilaginosa strain DSM 20746 16S ribosomal RNA, partial sequence",200
"gi|2363085864|ref|NR_181184.1| Brevundimonas huaxiensis strain 090558 16S ribosomal RNA, partial sequence",190
"gi|1953646644|ref|NR_171477.1| Stenotrophobium rhamnosiphilum strain GT1R17 16S ribosomal RNA, partial sequence",184
"gi|2363082282|ref|NR_179388.1| Faecalibacterium hattorii strain APC922/41-1 16S ribosomal RNA, partial sequence",164
"gi|2363080123|ref|NR_178280.1| Faecalibacterium duncaniae strain A2-165 16S ribosomal RNA, partial sequence",163
"gi|265678656|ref|NR_028961.1| Faecalibacterium prausnitzii strain ATCC 27768 16S ribosomal RNA, partial sequence",153
"gi|636560211|ref|NR_116271.1| Hydrocarboniphaga daqingensis strain B2-9 16S ribosomal RNA, partial sequence",148
"gi|2962412342|ref|NR_199537.1| Stenotrophomonas forensis strain DFS-20110405 16S ribosomal RNA, complete sequence",148
"gi|1269801501|ref|NR_075005.2| Bacillus velezensis strain FZB42 16S ribosomal RNA, complete sequence",143
"gi|310975202|ref|NR_037066.1| Thermus thermophilus HB8 16S ribosomal RNA, complete sequence",126
"gi|343198928|ref|NR_044065.1| Solimonas soli DSM 21787 strain DCY12 16S ribosomal RNA, partial sequence",122
"gi|219856890|ref|NR_024709.1| Stenotrophomonas hibiscicola strain ATCC 19867 16S ribosomal RNA, partial sequence",122
"gi|645320125|ref|NR_117406.1| Stenotrophomonas panacihumi strain MK06 16S ribosomal RNA, partial sequence",122
"gi|631252095|ref|NR_113293.1| Thermus thermophilus strain JCM 10941 16S ribosomal RNA, partial sequence",120
"gi|645320412|ref|NR_117623.1| Acinetobacter junii strain ATCC 17908 16S ribosomal RNA, partial sequence",118
"gi|566085326|ref|NR_109325.1| Luteimonas cucumeris strain Y4 16S ribosomal RNA, partial sequence",118
"gi|566085528|ref|NR_109599.1| Undibacterium terreum strain C3 16S ribosomal RNA, partial sequence",115
"gi|631250963|ref|NR_112160.1| Thermus kawarayensis JCM 12314 strain KW11 16S ribosomal RNA, partial sequence",113
"gi|645322664|ref|NR_119360.1| Acinetobacter junii strain Mannheim 2723/59 16S ribosomal RNA, partial sequence",112
"gi|636560011|ref|NR_116071.1| Acinetobacter septicus strain AK001 16S ribosomal RNA, partial sequence",109
"gi|631253128|ref|NR_114326.1| Fusicatenibacter saccharivorans strain HT03-11 16S ribosomal RNA, partial sequence",108
"gi|631251714|ref|NR_112912.1| Rhodopseudomonas palustris strain ATCC 17001 16S ribosomal RNA, partial sequence",107
"gi|645322161|ref|NR_118972.1| Bacillus subtilis strain NCDO 1769 16S ribosomal RNA, partial sequence",106
"gi|672238947|ref|NR_125536.1| Rhodoferax saidenbachensis strain ED16 16S ribosomal RNA, partial sequence",106
"gi|219857155|ref|NR_024783.1| Arthrobacter russicus strain A1-3 16S ribosomal RNA, partial sequence",104
"gi|636559427|ref|NR_115484.1| Rhodopseudomonas palustris strain ATCC 17001 16S ribosomal RNA, partial sequence",103
"gi|943392621|ref|NR_117900.2| Brevundimonas viscosa strain F3 16S ribosomal RNA, partial sequence",101
"gi|265678657|ref|NR_028962.1| Novosphingobium hassiacum strain W-51 16S ribosomal RNA, partial sequence",100
"gi|2363086588|ref|NR_181551.1| Novosphingobium aureum strain YJ-S2-02 16S ribosomal RNA, partial sequence",99
"gi|2463901633|ref|NR_184590.1| Undibacter mobilis strain GY_H 16S ribosomal RNA, partial sequence",99
"gi|631250993|ref|NR_112190.1| Rhodoplanes tepidamans strain DSM 9987 16S ribosomal RNA, partial sequence",97
"gi|343201086|ref|NR_041773.1| Renibacterium salmoninarum strain ATCC 33209 16S ribosomal RNA, partial sequence >gi|470467876|ref|NR_074198.1| Renibacterium salmoninarum 16S ribosomal RNA, partial sequence",97
"gi|265678404|ref|NR_028706.1| Pseudomonas veronii strain CIP 104663 16S ribosomal RNA, partial sequence",96
"gi|2221405213|ref|NR_175435.1| Massilia arenae strain GEM5 16S ribosomal RNA, partial sequence",93
"gi|2363083375|ref|NR_179936.1| Caulobacter endophyticus strain 774 16S ribosomal RNA, partial sequence",91
"gi|2363081640|ref|NR_179066.1| Caulobacter zeae strain 410 16S ribosomal RNA, partial sequence",90
"gi|343200890|ref|NR_041577.1| Stenotrophomonas maltophilia strain IAM 12423 16S ribosomal RNA, partial sequence",90
"gi|631253117|ref|NR_114315.1| Blautia luti DSM 14534 = JCM 17040 16S ribosomal RNA, partial sequence",90
"gi|2363081154|ref|NR_178820.1| Acetobacter oryzifermentans strain SLV-7 16S ribosomal RNA, partial sequence",89
"gi|2363084280|ref|NR_180390.1| Acetobacter oryzoeni strain B6 16S ribosomal RNA, partial sequence",89
"gi|219856872|ref|NR_024691.1| Priestia flexa strain IFO15715 16S ribosomal RNA, partial sequence",89
"gi|636560525|ref|NR_116585.1| Aeromonas taiwanensis strain A2-50 16S ribosomal RNA, partial sequence",89
"gi|444304091|ref|NR_074515.1| Phocaeicola vulgatus ATCC 8482 16S ribosomal RNA, partial sequence",89
"gi|2363086896|ref|NR_181705.1| Undibacterium rivi strain FT147W 16S ribosomal RNA, partial sequence",85
"gi|559795150|ref|NR_104737.1| Eubacterium oxidoreducens strain G41 16S ribosomal RNA, partial sequence",85
"gi|636558854|ref|NR_114911.1| Pseudomonas extremaustralis 14-3 16S ribosomal RNA, partial sequence",84
"gi|219846515|ref|NR_026107.1| Acetobacter pasteurianus strain LMD 22.1 16S ribosomal RNA, partial sequence",83
"gi|2363081194|ref|NR_178840.1| Blautia pseudococcoides strain YL58 16S ribosomal RNA, partial sequence",81
"gi|631251420|ref|NR_112617.1| Panacagrimonas perspica strain Gsoil 142 16S ribosomal RNA, partial sequence",80
"gi|636558442|ref|NR_114498.1| Rhodopseudomonas palustris strain ATCC 17001 16S ribosomal RNA, partial sequence",79
"gi|631251748|ref|NR_112946.1| Phocaeicola vulgatus strain JCM 5826 16S ribosomal RNA, partial sequence",79
"gi|343200664|ref|NR_041351.1| Phocaeicola dorei strain 175 16S ribosomal RNA, partial sequence",78
"gi|1909404486|ref|NR_170541.1| Janthinobacterium violaceinigrum strain FT13W 16S ribosomal RNA, partial sequence",76
"gi|444439526|ref|NR_074841.1| Aeromonas hydrophila strain ATCC 7966 16S ribosomal RNA, partial sequence",74
"gi|219856889|ref|NR_024708.1| Stenotrophomonas geniculata ATCC 19374 = JCM 13324 16S ribosomal RNA, partial sequence",72
"gi|631252602|ref|NR_113800.1| Priestia flexa strain NBRC 15715 16S ribosomal RNA, partial sequence",72
"gi|265678353|ref|NR_028655.1| Curvibacter gracilis strain 7-1 16S ribosomal RNA, partial sequence",71
"gi|2363080737|ref|NR_178610.1| Priestia veravalensis strain SGD-V-76 16S ribosomal RNA, partial sequence",70
"gi|2363082685|ref|NR_179590.1| Blautia provencensis strain Marseille-P3502 16S ribosomal RNA, partial sequence",69
"gi|672238934|ref|NR_125523.1| Ectopseudomonas chengduensis strain MBR 16S ribosomal RNA, partial sequence",68
"gi|636559814|ref|NR_115874.1| Pseudomonas oleovorans subsp. lubricantis strain RS1 16S ribosomal RNA, partial sequence",68
"gi|2363084603|ref|NR_180550.1| Pseudomonas yangonensis strain MY50 16S ribosomal RNA, partial sequence",68
"gi|636560524|ref|NR_116584.1| Aeromonas sanarellii strain A2-67 16S ribosomal RNA, partial sequence",67
"gi|265678670|ref|NR_028975.1| Corynebacterium tuberculostearicum strain Medalle X 16S ribosomal RNA, partial sequence",65
"gi|2962412368|ref|NR_199563.1| Pelomonas caseinilytica strain P7 16S ribosomal RNA, partial sequence",64
"gi|2962412369|ref|NR_199564.1| Pelomonas cellulosilytica strain P8 16S ribosomal RNA, partial sequence",64
"gi|343201413|ref|NR_042139.1| Corynebacterium accolens strain CNCTC Th1/57 16S ribosomal RNA, partial sequence",63
"gi|636559893|ref|NR_115953.1| Priestia aryabhattai B8W22 16S ribosomal RNA, partial sequence",63
"gi|219856891|ref|NR_024710.1| Roseateles saccharophilus strain DSM 654 16S ribosomal RNA, partial sequence",62
"gi|1909404484|ref|NR_170539.1| Janthinobacterium aquaticum strain FT58W 16S ribosomal RNA, partial sequence",62
"gi|2363082673|ref|NR_179584.1| Blautia phocaeensis strain Marseille-P3441 16S ribosomal RNA, partial sequence",62
"gi|943392602|ref|NR_117139.2| Anaerostipes hadrus strain DSM 3319 16S ribosomal RNA, partial sequence",62
"gi|943392601|ref|NR_117138.2| Anaerostipes hadrus strain DSM 3319 16S ribosomal RNA, partial sequence",62
"gi|219856846|ref|NR_024665.1| Staphylococcus caprae strain ATCC 35538 16S ribosomal RNA, partial sequence",61
"gi|1779814940|ref|NR_165014.1| Pseudomethylobacillus aquaticus strain H-5 16S ribosomal RNA, partial sequence",61
"gi|645320214|ref|NR_117473.1| Priestia megaterium strain ATCC 14581 16S ribosomal RNA, partial sequence",61
"gi|559795210|ref|NR_104799.1| Anaerostipes hadrus strain DSM 3319 16S ribosomal RNA, partial sequence",60
"gi|219846595|ref|NR_026187.1| Arthrobacter globiformis strain DSM 20124 16S ribosomal RNA, partial sequence",60
"gi|343198769|ref|NR_043638.1| Aeromonas hydrophila strain CCM 7232 16S ribosomal RNA, partial sequence",57
"gi|1909404375|ref|NR_170428.1| Ectopseudomonas hydrolytica strain DSWY01 16S ribosomal RNA, partial sequence",57
"gi|2962412276|ref|NR_199470.1| Levilactobacillus lettrarii strain FUA3695 16S ribosomal RNA, partial sequence",55
"gi|1315204034|ref|NR_152704.1| Chelatococcus reniformis strain B2974 16S ribosomal RNA, partial sequence",54
"gi|1269836853|ref|NR_044704.2| Levilactobacillus brevis strain ATCC 14869 16S ribosomal RNA, partial sequence",54
"gi|310975235|ref|NR_037099.1| Caulobacter vibrioides strain CB51 16S ribosomal RNA, partial sequence",51
"gi|444439494|ref|NR_074809.1| Roseburia hominis A2-183 16S ribosomal RNA, partial sequence",51
"gi|310975228|ref|NR_037092.1| Pseudomonas azotoformans strain KS 0034 16S ribosomal RNA, partial sequence",51
"gi|1269859156|ref|NR_037007.2| Staphylococcus aureus strain S33 R 16S ribosomal RNA, complete sequence",50
"gi|1269785412|ref|NR_118997.2| Staphylococcus aureus strain ATCC 12600 16S ribosomal RNA, complete sequence",50
"gi|2363083485|ref|NR_179991.1| Phreatobacter cathodiphilus strain S-12 16S ribosomal RNA, partial sequence",50
"gi|2221405513|ref|NR_175559.1| Staphylococcus roterodami strain EMCR19 16S ribosomal RNA, partial sequence",49
"gi|631251024|ref|NR_112221.1| Curvibacter fontanus strain AQ9 16S ribosomal RNA, partial sequence",46
"gi|444304189|ref|NR_074613.1| Lachnospira eligens ATCC 27750 16S ribosomal RNA, partial sequence",46
"gi|961555213|ref|NR_134182.1| Sphingomonas kyeonggiensis strain THG-DT81 16S ribosomal RNA, partial sequence",44
"gi|219878185|ref|NR_025324.1| Sphingomonas leidyi strain ATCC 15260 16S ribosomal RNA, partial sequence",44
"gi|1445135990|ref|NR_158030.1| Levilactobacillus cerevisiae strain TUM BP 140423000-2250 16S ribosomal RNA, partial sequence",44
"gi|343198920|ref|NR_044040.1| Ralstonia solanacearum strain K60-1 16S ribosomal RNA, partial sequence",43
"gi|219878246|ref|NR_025385.1| Ralstonia mannitolilytica strain LMG 6866 16S ribosomal RNA, partial sequence",43
"gi|343200116|ref|NR_040803.1| Ralstonia syzygii strain ATCC 49543 16S ribosomal RNA, partial sequence",43
"gi|645321791|ref|NR_118675.1| [Eubacterium] siraeum strain ATCC 29066 16S ribosomal RNA, partial sequence",42
"gi|343198793|ref|NR_043691.1| Methylobacillus flagellatus strain KT 16S ribosomal RNA, partial sequence",42
"gi|1909404480|ref|NR_170535.1| Duganella levis strain CY42W 16S ribosomal RNA, partial sequence",42
"gi|645320683|ref|NR_117831.1| Sphingomonas ginsenosidimutans strain Gsoil 1429 16S ribosomal RNA, partial sequence",41
"gi|1116030290|ref|NR_144748.1| Merdimmobilis hominis strain Marseille-P2769 16S ribosomal RNA, partial sequence",41
"gi|444303786|ref|NR_074208.1| Caulobacter segnis strain ATCC 21756 16S ribosomal RNA, partial sequence",41
"gi|631251774|ref|NR_112972.1| Aciditerrimonas ferrireducens JCM 15389 strain IC-180 16S ribosomal RNA, partial sequence",40
