organism,count
"gi|2363086248|ref|NR_181376.1| Alloacidobacterium dinghuense strain 4Y35 16S ribosomal RNA, partial sequence",665
"gi|645319683|ref|NR_117052.1| Bryocella elongata strain SN10 16S ribosomal RNA, partial sequence",489
"gi|2363082871|ref|NR_179684.1| Paracidobacterium acidisoli strain 4G-K13 16S ribosomal RNA, partial sequence",423
"gi|961555220|ref|NR_134189.1| Peristeroidobacter agariperforans strain KA5-B 16S ribosomal RNA, partial sequence",344
"gi|1277396194|ref|NR_151905.1| Vicinamibacter silvestris strain Ac_5_C6 16S ribosomal RNA, partial sequence",302
"gi|1277396277|ref|NR_151988.1| Brevitalea deliciosa strain Ac_16_C4 16S ribosomal RNA, partial sequence",267
"gi|1277396275|ref|NR_151986.1| Arenimicrobium luteum strain Ac_12_G8 16S ribosomal RNA, partial sequence",264
"gi|1397641809|ref|NR_156918.1| Luteitalea pratensis strain HEG_-6_39 16S ribosomal RNA, partial sequence",262
"gi|2363080029|ref|NR_178231.1| Steroidobacter agaridevorans strain SA29-B 16S ribosomal RNA, partial sequence",254
"gi|1277396276|ref|NR_151987.1| Brevitalea aridisoli strain Ac_11_E3 16S ribosomal RNA, partial sequence",248
"gi|1040567061|ref|NR_137410.1| Terriglobus albidus strain Ac_26_B10 16S ribosomal RNA, partial sequence",241
"gi|2363085824|ref|NR_181164.1| Usitatibacter rugosus strain 0125_3 16S ribosomal RNA, partial sequence",233
"gi|2363086580|ref|NR_181547.1| Steroidobacter gossypii strain S1-65 16S ribosomal RNA, partial sequence",230
"gi|926663081|ref|NR_132675.1| Gemmatirosa kalamazoonensis strain KBS708 16S ribosomal RNA, partial sequence",212
"gi|699005391|ref|NR_126260.1| Acidibacter ferrireducens strain MCF85 16S ribosomal RNA, partial sequence",208
"gi|1033657146|ref|NR_137236.1| Paraburkholderia solisilvae strain Y-47 16S ribosomal RNA, partial sequence",185
"gi|1270541310|ref|NR_074708.2| Gemmatimonas aurantiaca T-27 16S ribosomal RNA, partial sequence",182
"gi|228716127|ref|NR_027547.1| Anaeromyxobacter dehalogenans strain 2CP-1 16S ribosomal RNA, partial sequence",160
"gi|2363083536|ref|NR_180016.1| Simulacricoccus ruber strain MCy10636 16S ribosomal RNA, partial sequence",160
"gi|1040567021|ref|NR_137370.1| Jatrophihabitans fulvus strain PB158 16S ribosomal RNA, partial sequence",159
"gi|2363085826|ref|NR_181165.1| Usitatibacter palustris strain Swamp67 16S ribosomal RNA, partial sequence",156
"gi|961555151|ref|NR_134120.1| Paludibaculum fermentans strain P105 16S ribosomal RNA, partial sequence",154
"gi|961555263|ref|NR_134232.1| Caldimonas caldifontis strain YIM 78140 16S ribosomal RNA, partial sequence",143
"gi|343200254|ref|NR_040941.1| Derxia gummosa strain IAM 13946 16S ribosomal RNA, partial sequence",141
"gi|636558924|ref|NR_114981.1| Bryobacter aggregatus strain MPL3 16S ribosomal RNA, partial sequence",137
"gi|1270533081|ref|NR_074852.2| Corallococcus coralloides DSM 2259 16S ribosomal RNA, complete sequence",137
"gi|645320620|ref|NR_117782.1| Ferrovum myxofaciens strain P3G 16S ribosomal RNA, partial sequence",135
"gi|645321086|ref|NR_118138.1| Gaiella occulta strain F2-233 16S ribosomal RNA, partial sequence",132
"gi|1679775923|ref|NR_163645.1| Roseisolibacter agri strain AW1220 16S ribosomal RNA, partial sequence",128
"gi|444439612|ref|NR_074927.1| Anaeromyxobacter dehalogenans strain 2CP-1 16S ribosomal RNA, partial sequence",128
"gi|444303924|ref|NR_074347.1| Thermobaculum terrenum strain ATCC BAA-798 16S ribosomal RNA, partial sequence",123
"gi|2363080121|ref|NR_178279.1| Melittangium boletus DSM 14713 strain Me b8 16S ribosomal RNA, partial sequence",119
"gi|1171002983|ref|NR_146368.1| Terracidiphilus gabretensis strain S55 16S ribosomal RNA, partial sequence",119
"gi|1227086032|ref|NR_148580.1| Acidicapsa acidisoli strain SK-11 16S ribosomal RNA, partial sequence",117
"gi|2180566390|ref|NR_174253.1| Azohydromonas sediminis strain SYSU G00088 16S ribosomal RNA, partial sequence",112
"gi|343202284|ref|NR_042570.1| Aquisalimonas asiatica strain CG12 16S ribosomal RNA, partial sequence",110
"gi|2221405575|ref|NR_175584.1| Paraburkholderia pallida strain 7MH5 16S ribosomal RNA, partial sequence",105
"gi|2836274944|ref|NR_197707.1| Dongia sedimenti strain R-7 16S ribosomal RNA, partial sequence",103
"gi|631251774|ref|NR_112972.1| Aciditerrimonas ferrireducens JCM 15389 strain IC-180 16S ribosomal RNA, partial sequence",101
"gi|1013172399|ref|NR_135866.1| Jatrophihabitans soli strain KIS75-12 16S ribosomal RNA, partial sequence",97
"gi|2363081349|ref|NR_178919.1| Legionella norrlandica strain LEGN 16S ribosomal RNA, partial sequence",94
"gi|1024974697|ref|NR_136770.1| Gemmatimonas phototrophica strain AP64 16S ribosomal RNA, partial sequence",92
"gi|2136551676|ref|NR_173681.1| Rhabdothermincola sediminis strain SYSU G02662 16S ribosomal RNA, partial sequence",90
"gi|219857153|ref|NR_024781.1| Haliangium tepidum strain SMP-10 16S ribosomal RNA, partial sequence",90
"gi|2363080621|ref|NR_178552.1| Thermopetrobacter submarinus strain TC-2 16S ribosomal RNA, partial sequence",89
"gi|566085516|ref|NR_109586.1| Jatrophihabitans endophyticus strain S9-650 16S ribosomal RNA, partial sequence",89
"gi|444303956|ref|NR_074379.1| Sphaerobacter thermophilus strain DSM 20745 16S ribosomal RNA, partial sequence",88
"gi|636558576|ref|NR_114633.1| Thermobaculum terrenum ATCC BAA-798 strain YNP1 16S ribosomal RNA, partial sequence",85
"gi|343200270|ref|NR_040957.1| Heliobacterium mobile strain DSM 6151 16S ribosomal RNA, partial sequence",83
"gi|343201392|ref|NR_042118.1| Sphaerobacter thermophilus strain DSM 20745 16S ribosomal RNA, partial sequence",82
"gi|631251811|ref|NR_113009.1| Armatimonas rosea strain YO-36 16S ribosomal RNA, partial sequence",82
"gi|1179766740|ref|NR_146690.1| Dongia soli strain D78 16S ribosomal RNA, partial sequence",81
"gi|2463901786|ref|NR_184612.1| Capillimicrobium parvum strain 0166_1 16S ribosomal RNA, partial sequence",81
"gi|699005303|ref|NR_126172.1| Povalibacter uvarum strain Zumi 37 16S ribosomal RNA, partial sequence",81
"gi|645320382|ref|NR_117600.1| Archangium disciforme strain DSM 52716 16S ribosomal RNA, partial sequence",79
"gi|636559168|ref|NR_115225.1| Chthoniobacter flavus Ellin428 16S ribosomal RNA, partial sequence",78
"gi|1558439485|ref|NR_160522.1| Polyangium fumosum strain Pl fu5 16S ribosomal RNA, partial sequence",77
"gi|219846741|ref|NR_026333.1| Sphaerotilus mobilis strain Feox-1 16S ribosomal RNA, partial sequence",76
"gi|566084828|ref|NR_108192.1| Solirubrobacter ginsenosidimutans strain BXN5-15 16S ribosomal RNA, partial sequence",76
"gi|2962412368|ref|NR_199563.1| Pelomonas caseinilytica strain P7 16S ribosomal RNA, partial sequence",76
"gi|343205939|ref|NR_044443.1| Sorangium cellulosum strain DSM 14627 16S ribosomal RNA, partial sequence",75
"gi|228715357|ref|NR_027529.1| Gemmatimonas aurantiaca T-27 16S ribosomal RNA, partial sequence",75
"gi|1441204344|ref|NR_157759.1| Natronospira proteinivora strain BSker1 16S ribosomal RNA, partial sequence",68
"gi|343201672|ref|NR_042398.1| Stigmatella erecta strain DSM 16858 16S ribosomal RNA, partial sequence",68
"gi|1776910885|ref|NR_164618.1| Ketobacter alkanivorans strain GI5 16S ribosomal RNA, partial sequence",66
"gi|2962412369|ref|NR_199564.1| Pelomonas cellulosilytica strain P8 16S ribosomal RNA, partial sequence",66
"gi|1270533028|ref|NR_126245.2| Lihuaxuella thermophila strain YIM 77831 16S ribosomal RNA, complete sequence",66
"gi|526641957|ref|NR_103954.1| Chthonomonas calidirosea T49 16S ribosomal RNA, partial sequence",65
"gi|343206379|ref|NR_044971.1| Legionella worsleiensis strain NCTC 12377 16S ribosomal RNA, partial sequence",64
"gi|2221405573|ref|NR_175583.1| Paraburkholderia pallida strain 7MH5 16S ribosomal RNA, partial sequence",64
"gi|2962412244|ref|NR_199438.1| Cupriavidus phytorum strain MLR2-44 16S ribosomal RNA, complete sequence",62
"gi|2836274930|ref|NR_197693.1| Roseateles violae strain PFR6 16S ribosomal RNA, partial sequence",62
"gi|2962412262|ref|NR_199456.1| Geodermatophilus maliterrae strain WL48A 16S ribosomal RNA, complete sequence",59
"gi|444439515|ref|NR_074830.1| Conexibacter woesei strain DSM 14684 16S ribosomal RNA, partial sequence",59
"gi|444439602|ref|NR_074917.1| Haliangium ochraceum strain DSM 14365 16S ribosomal RNA, partial sequence",59
"gi|2363084489|ref|NR_180492.1| Bradyrhizobium agreste strain CNPSo 4010 16S ribosomal RNA, partial sequence",58
"gi|645320196|ref|NR_117459.1| Archangium gephyra strain DSM 2261 16S ribosomal RNA, partial sequence",57
"gi|1199303386|ref|NR_147737.1| Occallatibacter savannae strain A2-1c 16S ribosomal RNA, partial sequence",56
"gi|343198427|ref|NR_041798.1| Ferrimicrobium acidiphilum strain T23 16S ribosomal RNA, partial sequence",56
"gi|2363081977|ref|NR_179235.1| Capsulimonas corticalis strain AX-7 16S ribosomal RNA, partial sequence",54
"gi|636560404|ref|NR_116464.1| Desertibacter roseus strain 2622 16S ribosomal RNA, partial sequence",53
"gi|444303967|ref|NR_074390.1| Acidimicrobium ferrooxidans DSM 10331 16S ribosomal RNA, partial sequence",53
"gi|343202455|ref|NR_042751.1| Ferrithrix thermotolerans strain Y005 16S ribosomal RNA, partial sequence",52
"gi|672239116|ref|NR_125705.1| Aggregicoccus edonensis strain MCy1366 16S ribosomal RNA, partial sequence",52
"gi|636560616|ref|NR_116676.1| Dongia mobilis strain LM22 16S ribosomal RNA, partial sequence",51
"gi|2363084487|ref|NR_180491.1| Bradyrhizobium glycinis strain CNPSo 4016 16S ribosomal RNA, partial sequence",51
"gi|636559944|ref|NR_116004.1| Labrys wisconsinensis strain W1215-PCA4 16S ribosomal RNA, partial sequence",50
"gi|1237084959|ref|NR_112810.2| Thermaerobacter composti JCM 15650 strain Ni80 16S ribosomal RNA, partial sequence",49
"gi|2363082873|ref|NR_179685.1| Edaphobacter bradus strain 4MSH08 16S ribosomal RNA, partial sequence",48
"gi|1040567069|ref|NR_137418.1| Methylocapsa palsarum strain NE2 16S ribosomal RNA, partial sequence",47
"gi|228715350|ref|NR_027522.1| Haliangium ochraceum DSM 14365 strain SMP-2 16S ribosomal RNA, partial sequence",47
"gi|2221405524|ref|NR_175563.1| Caldimonas brevitalea strain DSM 7029 16S ribosomal RNA, partial sequence",46
"gi|631252114|ref|NR_113312.1| Thermotomaculum hydrothermale strain AC55 16S ribosomal RNA, partial sequence",46
"gi|1240411950|ref|NR_149296.1| Thalassobaculum fulvum strain HSF7 16S ribosomal RNA, partial sequence",46
"gi|2363083773|ref|NR_180134.1| Paramagnetospirillum kuznetsovii strain LBB-42 16S ribosomal RNA, complete sequence",46
"gi|1491516040|ref|NR_159238.1| Rhodoplanes tepidicaeni strain TUT3542 16S ribosomal RNA, partial sequence",45
"gi|1116030238|ref|NR_144696.1| Clostridium saudiense strain JCC 16S ribosomal RNA, partial sequence",45
"gi|444303872|ref|NR_074294.1| Terriglobus saanensis SP1PR4 16S ribosomal RNA, partial sequence",45
"gi|343198658|ref|NR_043213.1| Desulfuromonas svalbardensis strain 112 16S ribosomal RNA, partial sequence",44
"gi|636559945|ref|NR_116005.1| Reyranella massiliensis 521 16S ribosomal RNA, partial sequence",44
"gi|645322222|ref|NR_119023.1| Legionella wadsworthii strain ATCC 33877 16S ribosomal RNA, partial sequence",44
"gi|343206041|ref|NR_044611.1| Methylovirgula ligni strain BW863 16S ribosomal RNA, partial sequence",43
"gi|444303874|ref|NR_074296.1| Chloracidobacterium thermophilum strain B 16S ribosomal RNA, partial sequence",43
"gi|1779814833|ref|NR_164908.1| Streptomyces carminius strain TRM SA0054 16S ribosomal RNA, partial sequence",43
"gi|636560618|ref|NR_116678.1| Sorangium cellulosum strain DSM 14627 16S ribosomal RNA, partial sequence",42
"gi|444304144|ref|NR_074568.1| Rothia dentocariosa ATCC 17931 16S ribosomal RNA, partial sequence",42
"gi|602269356|ref|NR_044712.2| Rothia dentocariosa ATCC 17931 16S ribosomal RNA, partial sequence",42
"gi|444439585|ref|NR_074900.1| Desulfomicrobium baculatum DSM 4028 16S ribosomal RNA, partial sequence",41
"gi|343199086|ref|NR_044521.1| Ideonella azotifigens strain 1a22 16S ribosomal RNA, partial sequence",41
"gi|645320790|ref|NR_117911.1| Blastochloris viridis strain DSM 133 16S ribosomal RNA, partial sequence",40
"gi|343206281|ref|NR_044873.1| Rothia mucilaginosa strain DSM 20746 16S ribosomal RNA, partial sequence",40
"gi|1011034832|ref|NR_135724.1| Planifilum composti strain P8 16S ribosomal RNA, partial sequence",40
"gi|699005311|ref|NR_126180.1| Reyranella graminifolii strain Wo-34 16S ribosomal RNA, partial sequence",40
"gi|2363085448|ref|NR_180972.1| Massilia arenosa strain MC02 16S ribosomal RNA, partial sequence",39
"gi|343198741|ref|NR_043563.1| Planifilum yunnanense strain LA5 16S ribosomal RNA, partial sequence",39
"gi|645322612|ref|NR_119320.1| Legionella shakespearei strain NCTC 12829 16S ribosomal RNA, partial sequence",38
