organism,count
"gi|343198793|ref|NR_043691.1| Methylobacillus flagellatus strain KT 16S ribosomal RNA, partial sequence",572
"gi|566085528|ref|NR_109599.1| Undibacterium terreum strain C3 16S ribosomal RNA, partial sequence",517
"gi|470467498|ref|NR_074178.1| Methylobacillus flagellatus strain KT 16S ribosomal RNA, partial sequence",481
"gi|507148035|ref|NR_102842.1| Methylotenera mobilis JLW8 16S ribosomal RNA, partial sequence",453
"gi|343198792|ref|NR_043690.1| Methylotenera mobilis JLW8 16S ribosomal RNA, partial sequence",452
"gi|2363086898|ref|NR_181706.1| Undibacterium baiyunense strain BYS107W 16S ribosomal RNA, partial sequence",446
"gi|444304267|ref|NR_074693.1| Methylotenera versatilis strain 301 16S ribosomal RNA, partial sequence",442
"gi|1953646644|ref|NR_171477.1| Stenotrophobium rhamnosiphilum strain GT1R17 16S ribosomal RNA, partial sequence",428
"gi|2221405213|ref|NR_175435.1| Massilia arenae strain GEM5 16S ribosomal RNA, partial sequence",382
"gi|2363086896|ref|NR_181705.1| Undibacterium rivi strain FT147W 16S ribosomal RNA, partial sequence",369
"gi|631251420|ref|NR_112617.1| Panacagrimonas perspica strain Gsoil 142 16S ribosomal RNA, partial sequence",311
"gi|636560211|ref|NR_116271.1| Hydrocarboniphaga daqingensis strain B2-9 16S ribosomal RNA, partial sequence",288
"gi|2363086776|ref|NR_181645.1| Comamonas fluminis strain CJ34 16S ribosomal RNA, complete sequence",257
"gi|343200254|ref|NR_040941.1| Derxia gummosa strain IAM 13946 16S ribosomal RNA, partial sequence",222
"gi|2363085346|ref|NR_180921.1| Paracoccus binzhouensis strain wg1 16S ribosomal RNA, partial sequence",211
"gi|2363086224|ref|NR_181364.1| Undibacterium griseum strain FT31W 16S ribosomal RNA, partial sequence",203
"gi|2363086774|ref|NR_181644.1| Comamonas fluminis strain CJ34 16S ribosomal RNA, complete sequence",199
"gi|219878391|ref|NR_025530.1| Comamonas kerstersii strain LMG 3475 16S ribosomal RNA, partial sequence",196
"gi|2363085615|ref|NR_181060.1| Undibacterium crateris strain B2R-29 16S ribosomal RNA, partial sequence",193
"gi|343205990|ref|NR_044530.1| Pigmentiphaga litoralis strain JSM 061001 16S ribosomal RNA, partial sequence",191
"gi|636559894|ref|NR_115954.1| Sphingobacterium allocomposti strain 4M24 16S ribosomal RNA, partial sequence",182
"gi|645320047|ref|NR_117348.1| Undibacterium oligocarboniphilum strain EM 1 16S ribosomal RNA, partial sequence",179
"gi|961555210|ref|NR_134179.1| Sphingobacterium paludis strain S37 16S ribosomal RNA, partial sequence",177
"gi|343198453|ref|NR_041886.1| Haematobacter massiliensis strain Framboise 16S ribosomal RNA, partial sequence",172
"gi|2136551513|ref|NR_173516.1| Stagnimonas aquatica strain THS-13 16S ribosomal RNA, partial sequence",165
"gi|343198928|ref|NR_044065.1| Solimonas soli DSM 21787 strain DCY12 16S ribosomal RNA, partial sequence",165
"gi|1384992271|ref|NR_156019.1| Rugosibacter aromaticivorans strain Ca6 16S ribosomal RNA, complete sequence",154
"gi|672239015|ref|NR_125604.1| Paenirhodobacter enshiensis strain DW2-9 16S ribosomal RNA, partial sequence",150
"gi|1811131505|ref|NR_165687.1| Zwartia panacis strain DCY105 16S ribosomal RNA, partial sequence",150
"gi|1040567070|ref|NR_137419.1| Sinimarinibacterium flocculans strain NH6-24 16S ribosomal RNA, partial sequence",142
"gi|2363086226|ref|NR_181365.1| Undibacterium flavidum strain LX15W 16S ribosomal RNA, partial sequence",142
"gi|310975202|ref|NR_037066.1| Thermus thermophilus HB8 16S ribosomal RNA, complete sequence",117
"gi|631252095|ref|NR_113293.1| Thermus thermophilus strain JCM 10941 16S ribosomal RNA, partial sequence",115
"gi|343200817|ref|NR_041504.1| Olivibacter ginsengisoli strain Gsoil 060 16S ribosomal RNA, partial sequence",112
"gi|343200153|ref|NR_040840.1| Pelotomaculum thermopropionicum SI 16S ribosomal RNA, partial sequence",109
"gi|444304259|ref|NR_074685.1| Pelotomaculum thermopropionicum SI 16S ribosomal RNA, partial sequence",109
"gi|631250963|ref|NR_112160.1| Thermus kawarayensis JCM 12314 strain KW11 16S ribosomal RNA, partial sequence",102
"gi|645322563|ref|NR_119284.1| Clostridium thermosuccinogenes strain DSM 5807 16S ribosomal RNA, partial sequence",102
"gi|566084910|ref|NR_108458.1| Aquipuribacter hungaricus strain IV-75 16S ribosomal RNA, partial sequence",101
"gi|2363086228|ref|NR_181366.1| Undibacterium nitidum strain LX22W 16S ribosomal RNA, partial sequence",100
"gi|1033657146|ref|NR_137236.1| Paraburkholderia solisilvae strain Y-47 16S ribosomal RNA, partial sequence",98
"gi|1199303398|ref|NR_147749.1| Catenulispora fulva strain SA-246 16S ribosomal RNA, partial sequence",96
"gi|672239103|ref|NR_125692.1| Solimonas terrae strain KIS83-12 16S ribosomal RNA, partial sequence",92
"gi|2136551566|ref|NR_173569.1| Methyloradius palustris strain Zm11 16S ribosomal RNA, partial sequence",91
"gi|2363082282|ref|NR_179388.1| Faecalibacterium hattorii strain APC922/41-1 16S ribosomal RNA, partial sequence",91
"gi|2363080123|ref|NR_178280.1| Faecalibacterium duncaniae strain A2-165 16S ribosomal RNA, partial sequence",90
"gi|265678656|ref|NR_028961.1| Faecalibacterium prausnitzii strain ATCC 27768 16S ribosomal RNA, partial sequence",90
"gi|631251774|ref|NR_112972.1| Aciditerrimonas ferrireducens JCM 15389 strain IC-180 16S ribosomal RNA, partial sequence",90
"gi|559795171|ref|NR_104760.1| Methylobacillus glycogenes strain TK 0113 16S ribosomal RNA, partial sequence",87
"gi|2363086230|ref|NR_181367.1| Undibacterium umbellatum strain NL8W 16S ribosomal RNA, partial sequence",85
"gi|672239082|ref|NR_125671.1| Undibacterium jejuense strain JS4-4 16S ribosomal RNA, partial sequence",84
"gi|2363086220|ref|NR_181362.1| Undibacterium hunanense strain CY18W 16S ribosomal RNA, partial sequence",84
"gi|631251949|ref|NR_113147.1| Sulfuritalea hydrogenivorans sk43H 16S ribosomal RNA, partial sequence",77
"gi|1024974706|ref|NR_136773.1| Aquipuribacter nitratireducens strain AMV4 16S ribosomal RNA, partial sequence",77
"gi|1779814940|ref|NR_165014.1| Pseudomethylobacillus aquaticus strain H-5 16S ribosomal RNA, partial sequence",73
"gi|2136551676|ref|NR_173681.1| Rhabdothermincola sediminis strain SYSU G02662 16S ribosomal RNA, partial sequence",71
"gi|2621112356|ref|NR_189260.1| Aurantibacillus circumpalustris strain Swamp196 16S ribosomal RNA, partial sequence",70
"gi|2363082625|ref|NR_179559.1| Angelakisella massiliensis strain Marseille-P3217 16S ribosomal RNA, partial sequence",69
"gi|507148059|ref|NR_102866.1| Cytophaga hutchinsonii ATCC 33406 16S ribosomal RNA, partial sequence",69
"gi|343205549|ref|NR_043917.1| Marinoscillum pacificum strain MRN461 16S ribosomal RNA, partial sequence",67
"gi|2221405287|ref|NR_175457.1| Ramlibacter humi strain 18x22-1 16S ribosomal RNA, partial sequence",65
"gi|2363086772|ref|NR_181643.1| Comamonas fluminis strain CJ34 16S ribosomal RNA, complete sequence",65
"gi|559795130|ref|NR_104716.1| Globicatella sanguinis strain 1152-78 16S ribosomal RNA, partial sequence",62
"gi|219878298|ref|NR_025437.1| Globicatella sulfidifaciens strain CCUG 44365 16S ribosomal RNA, partial sequence",62
"gi|1033657144|ref|NR_137234.1| Paraburkholderia humisilvae strain Y-12 16S ribosomal RNA, partial sequence",60
"gi|1445136084|ref|NR_158124.1| Ramlibacter rhizophilus strain THG-YS3.2.7 16S ribosomal RNA, partial sequence",59
"gi|848212582|ref|NR_132289.1| Aquihabitans daechungensis strain CH22-21 16S ribosomal RNA, partial sequence",59
